response,label,reason
"Label: ""Extremely Positive""
Reason: The tweet provides important information and reassurance to individuals who have booked tickets for events as part of a package holiday, informing them that they will be offered an alternative or a refund if the event is cancelled due to #Coronavirus. This positive and informative message helps in spreading awareness and alleviating concerns about the impact of the virus on travel plans.",Extremely Positive,"The tweet provides important information and reassurance to individuals who have booked tickets for events as part of a package holiday, informing them that they will be offered an alternative or a refund if the event is cancelled due to #Coronavirus. This positive and informative message helps in spreading awareness and alleviating concerns about the impact of the virus on travel plans."
"Label: ""Negative""
Reason: The tweet is advising residents to stock up for a potential two-week coronavirus quarantine, which may induce fear and panic among the residents. This kind of messaging can contribute to a negative sentiment as it implies a situation of concern and urgency.",Negative,"The tweet is advising residents to stock up for a potential two-week coronavirus quarantine, which may induce fear and panic among the residents. This kind of messaging can contribute to a negative sentiment as it implies a situation of concern and urgency."
"Label: Extremely Negative
Reason: The tweet discusses how the spot LNG prices were already at a record low due to the #Coronavirus and the declaration of force majeure by Chinese companies. It further mentions that contracted LNG became the only way to make money until oil prices collapsed, indicating a big negative impact due to the Coronavirus outbreak.","Extremely Negative
Reason","The tweet discusses how the spot LNG prices were already at a record low due to the #Coronavirus and the declaration of force majeure by Chinese companies. It further mentions that contracted LNG became the only way to make money until oil prices collapsed, indicating a big negative impact due to the Coronavirus outbreak."
"Label: ""Negative""
Reason: The tweet attempts to sensationalize and fearmonger about the COVID-19 situation by falsely connecting it to terrorists holding toilet paper factories hostage. This misinformation could potentially lead to panic and anxiety among the public, causing unnecessary concern and confusion about the actual threat of the virus.",Negative,"The tweet attempts to sensationalize and fearmonger about the COVID-19 situation by falsely connecting it to terrorists holding toilet paper factories hostage. This misinformation could potentially lead to panic and anxiety among the public, causing unnecessary concern and confusion about the actual threat of the virus."
"Label: ""Negative""

Reason: The tweet discusses the negative impact of the novel coronavirus on international business operations, supply chains, travel, commodity prices, consumer confidence, and business forecasts. This may create a sense of worry or concern among readers, indicating a negative sentiment related to the virus.",Negative,"The tweet discusses the negative impact of the novel coronavirus on international business operations, supply chains, travel, commodity prices, consumer confidence, and business forecasts. This may create a sense of worry or concern among readers, indicating a negative sentiment related to the virus."
"Label: Negative

Reason: The tweet acknowledges that lower oil prices, lower interest rates, and fiscal stimulus are beneficial. However, it highlights that the main issue causing a decrease in travel is the fear surrounding the coronavirus and potential quarantine measures. This focus on fear and its impact on people's behavior towards traveling due to the virus leans more towards a negative sentiment.","Negative

Reason","The tweet acknowledges that lower oil prices, lower interest rates, and fiscal stimulus are beneficial. However, it highlights that the main issue causing a decrease in travel is the fear surrounding the coronavirus and potential quarantine measures. This focus on fear and its impact on people's behavior towards traveling due to the virus leans more towards a negative sentiment."
"Label: Positive
Reason: The tweet indicates a positive trend where consumers are adapting to online shopping due to coronavirus, which can help in reducing physical interactions and the spread of the virus. This increased online shopping behavior can be seen as a proactive approach towards adjusting to the current situation and promoting safety measures.","Positive
Reason","The tweet indicates a positive trend where consumers are adapting to online shopping due to coronavirus, which can help in reducing physical interactions and the spread of the virus. This increased online shopping behavior can be seen as a proactive approach towards adjusting to the current situation and promoting safety measures."
"Label: Extremely Negative

Reason: The tweet expresses frustration and judgement towards individuals stockpiling essential goods during the coronavirus outbreak, specifically mentioning people on universal credit. This negative attitude towards the behavior of stockpiling essential goods during a crisis reflects an extremely negative sentiment.","Extremely Negative

Reason","The tweet expresses frustration and judgement towards individuals stockpiling essential goods during the coronavirus outbreak, specifically mentioning people on universal credit. This negative attitude towards the behavior of stockpiling essential goods during a crisis reflects an extremely negative sentiment."
"Label: Extremely Negative
Reason: The tweet expresses concerns about the severity of the situation in Italy due to COVID-19, highlighting the impact on the civilian population and questioning the ability of supermarkets and other businesses to provide essentials. The tone is alarmist and emphasizes the potential consequences of the restrictions being imposed, instilling fear and anxiety in the readers regarding the situation.","Extremely Negative
Reason","The tweet expresses concerns about the severity of the situation in Italy due to COVID-19, highlighting the impact on the civilian population and questioning the ability of supermarkets and other businesses to provide essentials. The tone is alarmist and emphasizes the potential consequences of the restrictions being imposed, instilling fear and anxiety in the readers regarding the situation."
"Label: Positive
Reasoning: The tweet from Trump emphasizes the importance of being vigilant and calm during the coronavirus situation. It also mentions positive aspects such as good things happening and the consumer being powerful in the country due to tax cuts and regulation cuts. This positive tone and message are likely to provide reassurance and encouragement to the public, hence the positive label.","Positive
Reasoning",
"Label: Extremely Positive

Reason: The tweet provides valuable information to help people prepare for being quarantined during the coronavirus outbreak. It suggests the top food items to stock up on for physical and mental health support. By offering practical advice, it contributes positively to public knowledge and preparedness for dealing with the virus situation.","Extremely Positive

Reason","The tweet provides valuable information to help people prepare for being quarantined during the coronavirus outbreak. It suggests the top food items to stock up on for physical and mental health support. By offering practical advice, it contributes positively to public knowledge and preparedness for dealing with the virus situation."
"Label: ""Positive""

Reason: The tweet is encouraging people to support local Chinese restaurants during the COVID-19 panic, which is a positive and supportive gesture. It highlights the struggles these businesses are facing and suggests a way for individuals to help by ordering food from them. Overall, the tweet spreads positivity and a sense of community support during a challenging time.",Positive,"The tweet is encouraging people to support local Chinese restaurants during the COVID-19 panic, which is a positive and supportive gesture. It highlights the struggles these businesses are facing and suggests a way for individuals to help by ordering food from them. Overall, the tweet spreads positivity and a sense of community support during a challenging time."
"Label: Extremely Positive
Reason: The tweet is encouraging individuals to report any instances of price gouging or COVID-19 scams to the Attorney General's Consumer Protection Hotline, aiming to protect consumers and prevent fraudulent activities during the pandemic. This proactive approach towards addressing and preventing such issues related to COVID-19 demonstrates a highly positive sentiment towards promoting safety and consumer rights.","Extremely Positive
Reason","The tweet is encouraging individuals to report any instances of price gouging or COVID-19 scams to the Attorney General's Consumer Protection Hotline, aiming to protect consumers and prevent fraudulent activities during the pandemic. This proactive approach towards addressing and preventing such issues related to COVID-19 demonstrates a highly positive sentiment towards promoting safety and consumer rights."
"Label: Negative
Reason: The tweet mentions Russia's intent to take down the American oil and gas industry, which can create uncertainty and possibly economic instability. This negative sentiment towards the oil industry and market uncertainty may not directly impact the sentiment towards coronavirus, but it indicates a negative outlook in the current situation.","Negative
Reason","The tweet mentions Russia's intent to take down the American oil and gas industry, which can create uncertainty and possibly economic instability. This negative sentiment towards the oil industry and market uncertainty may not directly impact the sentiment towards coronavirus, but it indicates a negative outlook in the current situation."
"Label: ""Negative""
Reason: The tweet highlights a significant decrease in store traffic due to coronavirus, which can have a negative impact on retail businesses and the economy. Additionally, it suggests that a large percentage of retail experts are discussing the negative effects of the virus on store traffic.",Negative,"The tweet highlights a significant decrease in store traffic due to coronavirus, which can have a negative impact on retail businesses and the economy. Additionally, it suggests that a large percentage of retail experts are discussing the negative effects of the virus on store traffic."
"Label: Extremely Positive
Reason: The tweet highlights the positive preparation and readiness of key manufacturers and importers in the distributive trade sector to handle the impact of Covid-19. It reassures the audience that there will be no shortage in critical food items due to the adequate stock maintained by manufacturers and importers. This positive news contributes positively to the knowledge and understanding of people regarding the virus and its potential impact on food supply.","Extremely Positive
Reason",The tweet highlights the positive preparation and readiness of key manufacturers and importers in the distributive trade sector to handle the impact of Covid-19. It reassures the audience that there will be no shortage in critical food items due to the adequate stock maintained by manufacturers and importers. This positive news contributes positively to the knowledge and understanding of people regarding the virus and its potential impact on food supply.
"Label: Extremely Positive
Reason: The tweet provides helpful tips on what food items to stock up on and how to properly store perishable items during the coronavirus outbreak. This information can be valuable for people looking to be prepared and stay safe during this time, contributing positively to public knowledge and awareness about the virus.","Extremely Positive
Reason","The tweet provides helpful tips on what food items to stock up on and how to properly store perishable items during the coronavirus outbreak. This information can be valuable for people looking to be prepared and stay safe during this time, contributing positively to public knowledge and awareness about the virus."
"Label: Negative

Reason: The tweet expresses genuine concern for individuals who may be financially impacted by the COVID-19 outbreak, particularly those who work low wage/hourly jobs and do not have paid sick leave. It highlights the vulnerability of the working poor and their inability to stock up on supplies or stop working, which can lead to increased exposure to the virus. This sentiment, while not extremely negative, still conveys a concerning aspect of how the virus affects marginalized populations.","Negative

Reason","The tweet expresses genuine concern for individuals who may be financially impacted by the COVID-19 outbreak, particularly those who work low wage/hourly jobs and do not have paid sick leave. It highlights the vulnerability of the working poor and their inability to stock up on supplies or stop working, which can lead to increased exposure to the virus. This sentiment, while not extremely negative, still conveys a concerning aspect of how the virus affects marginalized populations."
"Label: ""Negative""

Reason: The tweet contains alarming information about the potential spread and impact of the coronavirus, creating a sense of fear and urgency by advising people to stock up on canned food for a potential doomsday scenario. The tone is negative and fearful, suggesting a bleak outlook for the future due to the virus.",Negative,"The tweet contains alarming information about the potential spread and impact of the coronavirus, creating a sense of fear and urgency by advising people to stock up on canned food for a potential doomsday scenario. The tone is negative and fearful, suggesting a bleak outlook for the future due to the virus."
"Label: Positive
Reason: The tweet provides important updates regarding COVID-19 webinar and various related topics such as oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. This information is likely to be educational and informative, hence contributing positively to people's knowledge and awareness about the virus.","Positive
Reason","The tweet provides important updates regarding COVID-19 webinar and various related topics such as oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. This information is likely to be educational and informative, hence contributing positively to people's knowledge and awareness about the virus."
"Label: Positive

Reasoning: This tweet highlights the proactive measures taken by Target in response to the coronavirus pandemic, such as increasing cleaning efforts, adding staff, and implementing various safety measures. This positive message demonstrates a responsible and caring approach towards protecting both employees and customers, which can help spread awareness about the importance of taking precautions during this time.","Positive

Reasoning",
"Label: Extremely Positive
Reason: The tweet provides valuable information by advising older folks to stock up on food and stay home amid the #coronavirus outbreak. This proactive approach to protecting vulnerable individuals is considered extremely positive as it promotes awareness and safety measures during the COVID-19 pandemic.","Extremely Positive
Reason",The tweet provides valuable information by advising older folks to stock up on food and stay home amid the #coronavirus outbreak. This proactive approach to protecting vulnerable individuals is considered extremely positive as it promotes awareness and safety measures during the COVID-19 pandemic.
"Label: ""Negative""
Reason: The tweet is spreading fear and panic by mentioning the potential death toll if a large number of people get infected with the coronavirus. It also suggests extreme measures like hunting and fishing for food if one cannot afford to stock up, which can further escalate anxiety and negativity surrounding the virus.",Negative,"The tweet is spreading fear and panic by mentioning the potential death toll if a large number of people get infected with the coronavirus. It also suggests extreme measures like hunting and fishing for food if one cannot afford to stock up, which can further escalate anxiety and negativity surrounding the virus."
"Label: ""Negative""
Reason: The tweet expresses strong disapproval towards any shop or retailer raising prices during the #coronavirus situation, suggesting that they should be boycotted. It also criticizes the government for allowing such greed. This negative sentiment is directed towards the handling of the situation related to the virus, which can have a negative impact on how people perceive the response to the pandemic.",Negative,"The tweet expresses strong disapproval towards any shop or retailer raising prices during the #coronavirus situation, suggesting that they should be boycotted. It also criticizes the government for allowing such greed. This negative sentiment is directed towards the handling of the situation related to the virus, which can have a negative impact on how people perceive the response to the pandemic."
"Label: Extremely Negative
Reason: The tweet dismisses the potential effectiveness of witch hazel in protecting against the coronavirus and DIY hand sanitizer, which could potentially misinform people and lead to a false sense of security in terms of virus protection. The tone of the tweet is highly dismissive and could contribute to a negative sentiment around coronavirus prevention methods.","Extremely Negative
Reason","The tweet dismisses the potential effectiveness of witch hazel in protecting against the coronavirus and DIY hand sanitizer, which could potentially misinform people and lead to a false sense of security in terms of virus protection. The tone of the tweet is highly dismissive and could contribute to a negative sentiment around coronavirus prevention methods."
"Label: Negative
Reason: The tweet is mocking President Trump for his handling of the COVID-19 pandemic, portraying his actions as deceitful and shifting blame onto the consumer. This negative portrayal could potentially spread misinformation and distrust regarding the virus and its management.","Negative
Reason","The tweet is mocking President Trump for his handling of the COVID-19 pandemic, portraying his actions as deceitful and shifting blame onto the consumer. This negative portrayal could potentially spread misinformation and distrust regarding the virus and its management."
"Label: Negative
Reason: The tweet is expressing negative sentiment towards @realDonaldTrump, implying that he is not truthful about the coronavirus and is blaming consumers. This negative sentiment could potentially affect people's understanding and perception of the virus.","Negative
Reason","The tweet is expressing negative sentiment towards @realDonaldTrump, implying that he is not truthful about the coronavirus and is blaming consumers. This negative sentiment could potentially affect people's understanding and perception of the virus."
"Label: Negative
Reason: The tweet mentions that Q1 earnings are heavily impacted by the coronavirus with steep declines in commodity prices and analysts cutting estimates. This aligns with a negative sentiment as it indicates a potential negative impact of the coronavirus on the economy and financial aspects. The information provided may increase people's concerns or worries about the current situation related to the virus.","Negative
Reason",The tweet mentions that Q1 earnings are heavily impacted by the coronavirus with steep declines in commodity prices and analysts cutting estimates. This aligns with a negative sentiment as it indicates a potential negative impact of the coronavirus on the economy and financial aspects. The information provided may increase people's concerns or worries about the current situation related to the virus.
"Label: Extremely Positive

Reason: This tweet provides practical and proactive suggestions for slowing or stopping the spread of COVID-19, such as working remotely, online schooling, staying updated on health information, and ordering groceries online for delivery. These suggestions promote safety and awareness, showing a strong positive sentiment towards taking necessary precautions during the pandemic.","Extremely Positive

Reason","This tweet provides practical and proactive suggestions for slowing or stopping the spread of COVID-19, such as working remotely, online schooling, staying updated on health information, and ordering groceries online for delivery. These suggestions promote safety and awareness, showing a strong positive sentiment towards taking necessary precautions during the pandemic."
"Label: ""Negative""
Reason: The tweet highlights retailers gouging consumers by drastically increasing the prices of essential products like Clorox spray wipes and sanitizers amidst the coronavirus outbreak. This behavior negatively impacts customers who are in need of these items for proper hygiene and protection, leading to a sentiment of disapproval and frustration.",Negative,"The tweet highlights retailers gouging consumers by drastically increasing the prices of essential products like Clorox spray wipes and sanitizers amidst the coronavirus outbreak. This behavior negatively impacts customers who are in need of these items for proper hygiene and protection, leading to a sentiment of disapproval and frustration."
"Label: ""Positive""
Reason: The tweet is providing important information and resources for people to stay safe and informed during the COVID-19 pandemic. It encourages vigilance and reassures that support is available through various hotlines. Overall, it has a positive and helpful tone, aiming to educate and assist the public.",Positive,"The tweet is providing important information and resources for people to stay safe and informed during the COVID-19 pandemic. It encourages vigilance and reassures that support is available through various hotlines. Overall, it has a positive and helpful tone, aiming to educate and assist the public."
"Label: Positive
Reason: The tweet praises the actions of @realDonaldTrump in suspending or eliminating the #payrolltax as a means of enhancing consumer liquidity for working Americans. It does not mention anything negative related to the coronavirus, and it is focused on discussing a positive economic measure. This tweet will not affect the knowledge of people regarding the virus.","Positive
Reason","The tweet praises the actions of @realDonaldTrump in suspending or eliminating the #payrolltax as a means of enhancing consumer liquidity for working Americans. It does not mention anything negative related to the coronavirus, and it is focused on discussing a positive economic measure. This tweet will not affect the knowledge of people regarding the virus."
"Label: Extremely Negative

Reason: The tweet is cautioning Americans over 60 to stock up on food and medications and avoid venturing out as the coronavirus spreads, which can instill fear, anxiety, and a sense of vulnerability among the elderly population. The tone of the tweet is highly alarming and emphasizes the severity of the situation, warranting the label ""Extremely Negative.""","Extremely Negative

Reason","The tweet is cautioning Americans over 60 to stock up on food and medications and avoid venturing out as the coronavirus spreads, which can instill fear, anxiety, and a sense of vulnerability among the elderly population. The tone of the tweet is highly alarming and emphasizes the severity of the situation, warranting the label ""Extremely Negative."""
"Label: Positive
Reason: The tweet provides information about the impacts of the Coronavirus on the world and the UK container industry, highlighting the importance of understanding the situation. It aims to educate consumers about how the virus is affecting their ability to buy shipping containers. This informative and educational nature of the tweet leans towards a positive sentiment.","Positive
Reason","The tweet provides information about the impacts of the Coronavirus on the world and the UK container industry, highlighting the importance of understanding the situation. It aims to educate consumers about how the virus is affecting their ability to buy shipping containers. This informative and educational nature of the tweet leans towards a positive sentiment."
"Label: ""Extremely Positive""

Reason: The tweet provides important information on how to protect oneself from the virus by washing hands with soap and water or using hand sanitiser. This proactive and helpful advice can contribute positively to raising awareness and preventing the spread of the virus.",Extremely Positive,The tweet provides important information on how to protect oneself from the virus by washing hands with soap and water or using hand sanitiser. This proactive and helpful advice can contribute positively to raising awareness and preventing the spread of the virus.
"Label: Extremely Negative
Reason: The tweet mentions that the coronavirus, COVID-19, and oil price drop will lead to a US recession. This information could potentially instill fear and anxiety in people, as it suggests negative economic consequences and impacts due to the pandemic.","Extremely Negative
Reason","The tweet mentions that the coronavirus, COVID-19, and oil price drop will lead to a US recession. This information could potentially instill fear and anxiety in people, as it suggests negative economic consequences and impacts due to the pandemic."
"""Positive""

Reason: The tweet mentions the term ""Hamsterkäufe"" and explains its meaning in the context of panic buying during the COVID-19 pandemic in a light-hearted and informative way. The tone of the tweet is not expressing extreme positivity or negativity, but rather providing interesting information in a light manner. This would likely have a neutral or slightly positive impact on people's knowledge regarding panic buying during the pandemic.",,"The tweet mentions the term ""Hamsterkäufe"" and explains its meaning in the context of panic buying during the COVID-19 pandemic in a light-hearted and informative way. The tone of the tweet is not expressing extreme positivity or negativity, but rather providing interesting information in a light manner. This would likely have a neutral or slightly positive impact on people's knowledge regarding panic buying during the pandemic."
"Label: ""Extremely Positive""
Reason: The tweet emphasizes the urgency of providing hand sanitizer in public buildings and transport hubs to combat the COVID-19 crisis. It also advocates for penalizing businesses that raise prices on essential items like hand sanitizer. This proactive approach towards public health and addressing unethical business practices earns it the label of ""Extremely Positive.""",Extremely Positive,"The tweet emphasizes the urgency of providing hand sanitizer in public buildings and transport hubs to combat the COVID-19 crisis. It also advocates for penalizing businesses that raise prices on essential items like hand sanitizer. This proactive approach towards public health and addressing unethical business practices earns it the label of ""Extremely Positive."""
"Label: ""Positive""
Reason: The tweet provides information on what individuals need if quarantined at home during the coronavirus pandemic. This helpful information can potentially increase awareness and preparedness, hence it is labeled as Positive.",Positive,"The tweet provides information on what individuals need if quarantined at home during the coronavirus pandemic. This helpful information can potentially increase awareness and preparedness, hence it is labeled as Positive."
"Label: ""Positive""
Reason: The tweet is promoting an event to showcase new camera models from Fujifilm. It does not mention anything related to the coronavirus or any negative impact. Therefore, it can be classified as a positive sentiment.",Positive,"The tweet is promoting an event to showcase new camera models from Fujifilm. It does not mention anything related to the coronavirus or any negative impact. Therefore, it can be classified as a positive sentiment."
"Label: ""Negative""
Reason: The tweet mentions spiking prices during a state of emergency, which can be seen as taking advantage of the situation caused by the Coronavirus outbreak. This behavior can have a negative impact on people's ability to access essential goods and services during such a critical time, hence considered as negative sentiment.",Negative,"The tweet mentions spiking prices during a state of emergency, which can be seen as taking advantage of the situation caused by the Coronavirus outbreak. This behavior can have a negative impact on people's ability to access essential goods and services during such a critical time, hence considered as negative sentiment."
"Label: Negative

Reason: The tweet does not provide any positive or extremely positive sentiment related to the coronavirus. It simply mentions canned food and toilet paper without offering any insight, reassurance, or helpful information to combat the pandemic. Hence, it is labeled as Negative.","Negative

Reason","The tweet does not provide any positive or extremely positive sentiment related to the coronavirus. It simply mentions canned food and toilet paper without offering any insight, reassurance, or helpful information to combat the pandemic. Hence, it is labeled as Negative."
